about,advice,all,along,an,and,are,as,at,be,beautiful,been,being,best,big,bit,book,business,but,by,call,can,check,com,could,day,days,did,donald,every,everyone,first,for,forget,forward,free,from,great,happy,has,have,he,her,here,him,his,history,http,in,interview,is,it,know,last,late,like,list,live,lot,ly,make,more,morning,my,never,new,night,now,of,on,one,or,our,out,people,read,say,show,that,the,them,there,they,think,to,today,tomorrow,tonight,top,trump,twitter,usa,ve,very,was,watch,way,we,what,who,will,win,with,wonderful,work,world,www,year,york,you,your
2,1,5,2,2,20,1,1,2,9,1,1,2,1,3,3,7,3,1,3,1,3,3,42,2,4,1,1,42,1,1,2,7,1,1,1,6,3,4,2,5,2,1,2,1,2,1,44,9,3,5,7,3,1,3,9,3,2,1,3,1,1,1,1,1,8,1,1,14,15,2,1,1,4,1,4,1,2,4,28,1,1,2,9,19,3,1,2,3,48,1,1,1,3,3,5,1,2,1,1,4,1,10,1,1,3,7,1,1,10,10
4,1,9,2,7,66,3,5,39,47,8,3,3,9,1,20,1,1,2,7,3,1,7,31,2,6,1,1,10,3,9,1,50,8,6,1,14,29,8,4,6,6,6,4,7,7,1,46,44,3,32,23,1,14,1,3,1,12,2,21,2,4,1,9,1,23,18,2,53,73,11,1,9,9,1,2,1,14,4,148,2,6,2,1,77,6,8,24,1,49,2,8,3,6,12,6,3,13,2,5,22,5,22,2,3,6,23,2,7,7,6
36,2,34,1,23,289,64,31,115,131,4,11,8,18,7,203,45,7,15,38,3,37,14,28,5,11,1,13,15,5,8,21,124,11,6,3,66,56,10,65,58,65,14,12,11,33,4,342,235,74,300,102,7,40,6,13,3,8,3,270,15,40,12,193,9,58,39,44,225,235,19,20,113,37,26,12,5,23,75,672,10,20,42,10,376,57,10,37,1,68,3,6,5,19,39,52,11,117,24,26,95,4,129,3,11,27,8,14,1,60,44
176,5,223,8,172,993,422,185,356,636,27,78,69,78,91,622,22,44,151,230,18,233,11,70,56,44,24,85,79,45,32,59,690,5,27,22,220,413,45,303,363,570,61,24,89,301,19,1303,1056,189,1410,531,59,136,11,125,6,33,26,633,96,180,29,467,107,143,106,184,977,797,104,87,281,145,139,30,38,84,442,2841,64,77,274,75,1722,111,53,77,30,277,22,22,26,146,269,79,41,324,178,172,489,73,402,28,76,74,34,78,32,512,134
262,28,484,8,214,1846,780,317,604,1054,62,117,157,236,245,520,46,127,387,316,29,388,32,185,94,130,20,131,331,70,76,93,1239,16,63,23,261,1005,115,336,661,598,90,56,194,317,35,757,1472,92,1898,1073,163,101,23,359,19,46,53,517,156,201,41,538,216,248,79,218,1566,1095,270,198,346,211,346,73,100,183,798,3876,156,159,415,341,2514,133,43,118,69,850,116,48,64,328,382,98,115,425,436,267,807,84,574,38,191,137,33,91,64,2394,662
226,29,340,15,203,1290,551,312,497,897,101,117,94,263,136,203,47,143,267,358,34,432,24,673,87,124,19,65,592,71,39,98,1555,13,82,17,273,786,78,269,552,473,53,47,118,204,24,668,1465,74,1467,897,144,70,19,284,14,25,51,216,195,173,60,528,178,237,42,188,1330,927,292,149,366,183,202,65,78,125,606,3703,128,159,233,214,2230,120,36,34,75,1342,264,63,94,186,336,77,114,518,322,219,629,79,478,37,144,159,288,68,58,2237,591
338,13,470,9,211,1618,677,345,687,1089,60,141,114,240,237,71,73,105,306,480,41,518,21,1677,84,98,19,111,971,86,77,109,1732,15,110,30,283,1088,51,369,562,715,98,69,190,311,33,853,1592,109,1785,1046,170,148,16,324,13,106,50,81,412,238,68,630,171,324,142,231,1452,1372,283,165,392,310,351,54,119,252,733,4062,129,143,307,166,2688,129,98,234,51,2278,752,78,84,250,407,189,136,712,386,333,972,168,605,65,103,90,662,77,34,2208,536
157,3,297,7,103,1194,358,186,378,601,15,106,54,35,168,139,14,31,141,276,26,177,15,1818,32,67,20,70,142,28,46,54,750,19,37,12,212,574,31,243,327,303,176,40,87,141,35,407,1195,37,975,420,53,101,7,134,14,37,17,139,217,153,62,305,116,245,94,188,993,745,137,93,262,231,280,16,53,70,462,2313,82,76,218,37,1479,142,119,132,24,547,1067,19,17,202,277,125,79,429,116,194,794,116,380,47,31,43,613,32,54,994,146
102,4,221,12,105,1151,366,154,269,398,24,75,63,22,157,8,11,37,120,165,17,74,7,724,27,80,19,42,30,21,33,76,578,10,41,11,135,478,41,127,247,133,28,28,29,81,33,161,796,12,655,332,26,52,3,52,4,29,10,7,89,110,25,185,74,93,34,140,997,428,66,86,415,115,201,10,25,21,339,2322,50,82,187,17,1393,150,28,29,13,151,628,16,14,174,226,33,49,370,84,149,484,51,407,47,44,48,79,58,10,303,77
202,5,431,37,205,2850,878,318,486,779,36,240,159,57,252,9,53,44,267,408,29,112,3,666,54,106,25,94,67,53,59,121,1189,11,83,26,283,812,59,490,586,492,86,39,98,266,87,90,1443,10,1522,687,89,83,9,123,8,21,17,5,154,245,24,376,165,177,56,289,2126,976,148,233,930,249,428,17,50,31,854,4854,149,255,646,40,2572,174,31,50,25,294,598,22,2,387,536,36,115,761,176,336,839,110,792,59,80,114,150,103,49,520,151
